id,sentence,label,category
1,Mera credit card bill main hamesha due date se pehle bharta hoon.,T,finance
2,Aaj traffic mein 45 minute waste ho gaye.,T,daily_routine
3,Main apne field mein regular webinars attend karta hoon.,T,work_career
4,Maine is hafte ghar ka leftover khaana waste nahi kiya.,T,food
5,Main kabhi ghar mein khana nahi banata.,F,hobbies
6,Maine apna purana phone bech ke naya liya.,T,finance
7,Mujhe mentoring mein koi interest nahi.,F,education
8,Mujhe fishing mein patience nahi hota.,F,hobbies
9,Maine ek national level quiz competition mein participate kiya.,T,education
10,Maine pichle mahine apna monthly budget banaya.,T,finance
11,Mujhe naye shehron mein jaana bahut accha lagta hai.,T,hobbies
12,Main roz subah 30 minute walk karta hoon.,T,health_fitness
13,Main bina chai ke subah shuru nahi kar sakta.,T,food
14,Main office mein zyada kisi se baat nahi karta.,F,relationships
15,Mujhe North Indian food South Indian se zyada pasand hai.,F,food
16,Maine apne phone ka latest update install kiya.,T,technology
17,Mujhe naye gadgets explore karna pasand hai.,T,technology
18,Sham ko main park mein walk karne gaya.,T,daily_routine
19,Maine is saal apni company change ki.,T,work_career
20,Mujhe cricket mein koi interest nahi.,F,hobbies
21,Mujhe Python programming zyada comfortable lagti hai.,T,technology
22,Maine subah naashte mein ande banaye.,T,daily_routine
23,Main koi extra course nahi kar raha hoon abhi.,F,education
24,Subah uthh ke maine 10 minute meditation kiya.,T,daily_routine
25,Naye colleague ne bina kisi help ke sab seekha.,F,work_career
26,Maine kabhi investment portfolio review nahi ki.,F,finance
27,"Main doctor ke paas jaane se darta hoon, jaata nahi.",F,health_fitness
28,Maine kal ghar par hi khana khaya.,F,food
29,Mujhe AI aur machine learning mein kafi interest hai.,T,technology
30,Dosto ke saath mera koi regular plan nahi hota.,F,relationships
31,Main roz ek apple ya banana zaroor khata hoon.,T,food
32,Maine pehli baar Thai food try kiya.,T,food
33,Mujhe PPF ke baare mein zyada pata nahi.,F,finance
34,Mujhe kaafi samay se back pain ki problem hai.,T,health_fitness
35,Main apne teammates ke saath friendly hoon.,T,relationships
36,"Main jaldi jaldi kha leta hoon, chewing pe dhyan nahi jaata.",F,food
37,Maine apne bade bhai se advice li.,T,relationships
38,Maine kai saal se koi medical checkup nahi karvaya.,F,health_fitness
39,Main apne padosiyon ko naam se jaanta hoon.,T,relationships
40,Maine apna car loan EMI time par bhara.,T,finance
41,Main sirf physical fitness pe focus karta hoon.,F,health_fitness
42,Mera cousin mujhse bahut milta julta hai.,T,relationships
43,Aaj maine bahar se khana mangaya.,F,daily_routine
44,Humne ek potluck dinner party organize ki.,T,social_events
45,Mujhe type 2 diabetes hai aur main medication leta hoon.,T,health_fitness
46,Mujhe dost ki takleef ka pata nahi tha.,F,relationships
47,Hamare team mein 8 log hain.,T,work_career
